sex,_agedays,_bmi_l,_bmi_m,_bmi_s,_tsf_l,_tsf_m,_tsf_s,_ssf_l,_ssf_m,_ssf_s,_armc_l,_armc_m,_armc_s,_headc_l,_headc_m,_headc_s,_wei_l,_wei_m,_wei_s,_len_l,_len_m,_len_s,_denom,_len,_wfl_l,_wfl_m,_wfl_s
1,0,-0.305299997,13.406900406,0.0956000015,,,,,,,,,,1,34.461799622,0.0368600003,0.3486999869,3.3464000225,0.1460199952,1,49.88420105,0.0379500017,forage,,,,
1,1,-0.186700001,13.397600174,0.0959699973,,,,,,,,,,1,34.562000275,0.036559999,0.3127000034,3.3173999786,0.1469299942,1,50.060100555,0.03785,forage,,,,
1,2,-0.068099998,13.388299942,0.0963400006,,,,,,,,,,1,34.662200928,0.036249999,0.3028999865,3.3369998932,0.1467600018,1,50.235900879,0.0377499983,forage,,,,
1,3,0.0505000018,13.379099846,0.0967200026,,,,,,,,,,1,34.762500763,0.0359500013,0.2958999872,3.3626999855,0.1464699954,1,50.411800385,0.0376400016,forage,,,,
1,4,0.1689999998,13.369799614,0.0970899984,,,,,,,,,,1,34.862701416,0.0356400013,0.2903000116,3.3914999962,0.1461099982,1,50.587600708,0.0375399999,forage,,,,
1,5,0.2876000106,13.360600471,0.0974600017,,,,,,,,,,1,34.962898254,0.0353300013,0.28549999,3.4223001003,0.1457100064,1,50.763500214,0.0374399982,forage,,,,
1,6,0.4061999917,13.35130024,0.0978400037,,,,,,,,,,1,35.063098907,0.0350299999,0.2813000083,3.4544999599,0.1452800035,1,50.939300537,0.0373400003,forage,,,,
1,7,0.524699986,13.342100143,0.0982099995,,,,,,,,,,1,35.163398743,0.0347199999,0.2775999904,3.4879000187,0.1448300034,1,51.115200043,0.0372299999,forage,,,,
1,8,0.5094000101,13.384300232,0.0976900011,,,,,,,,,,1,35.263599396,0.0344099998,0.2741999924,3.5222001076,0.1443600059,1,51.291000366,0.0371299982,forage,,,,
1,9,0.4941000044,13.42650032,0.0971599966,,,,,,,,,,1,35.363800049,0.0341099985,0.2711000144,3.5576000214,0.1438799948,1,51.466899872,0.0370300002,forage,,,,
1,10,0.4788999856,13.468700409,0.0966399983,,,,,,,,,,1,35.464000702,0.0337999985,0.2680999935,3.5940999985,0.1433899999,1,51.642700195,0.0369299985,forage,,,,
1,11,0.4636000097,13.51099968,0.0961100012,,,,,,,,,,1,35.564300537,0.0335000008,0.2653999925,3.6319000721,0.142900005,1,51.818599701,0.0368199982,forage,,,,
1,12,0.448300004,13.553199768,0.0955900028,,,,,,,,,,1,35.66450119,0.0331900008,0.2628000081,3.6710000038,0.1424099952,1,51.994400024,0.0367200002,forage,,,,
1,13,0.4329999983,13.595399857,0.095069997,,,,,,,,,,1,35.764701843,0.0328800008,0.2603999972,3.7112998962,0.1419200003,1,52.170200348,0.0366199985,forage,,,,
1,14,0.4176999927,13.637700081,0.09454,,,,,,,,,,1,35.864898682,0.0325799994,0.258100003,3.7528998852,0.1414200068,1,52.346099854,0.0365200005,forage,,,,
1,15,0.4059000015,13.717399597,0.094159998,,,,,,,,,,1,35.965198517,0.0324800014,0.2558000088,3.7955999374,0.140929997,1,52.49779892,0.0364499986,forage,,,,
1,16,0.394600004,13.800600052,0.0938000008,,,,,,,,,,1,36.063201904,0.0323899984,0.2536999881,3.8389000893,0.1404400021,1,52.648799896,0.0363899991,forage,,,,
1,17,0.3838999867,13.885399818,0.0934699997,,,,,,,,,,1,36.159000397,0.0322999991,0.2517000139,3.8828001022,0.1399600059,1,52.798999786,0.0363299996,forage,,,,
1,18,0.3734999895,13.970700264,0.0931499973,,,,,,,,,,1,36.252601624,0.0322099999,0.2496999949,3.9270000458,0.1394799948,1,52.948299408,0.03627,forage,,,,
1,19,0.3635999858,14.055800438,0.0928499997,,,,,,,,,,1,36.344100952,0.0321299993,0.2477999926,3.9714000225,0.1389999986,1,53.096698761,0.0362100005,forage,,,,
1,20,0.3540999889,14.140399933,0.0925699994,,,,,,,,,,1,36.433799744,0.0320499986,0.2460000068,4.0157999992,0.138530001,1,53.244098663,0.036150001,forage,,,,
1,21,0.344900012,14.224100113,0.0922999978,,,,,,,,,,1,36.521598816,0.0319700018,0.2442000061,4.0602998734,0.1380700022,1,53.390499115,0.0360900015,forage,,,,
1,22,0.3359999955,14.306500435,0.0920400023,,,,,,,,,,1,36.60779953,0.0318900011,0.2425000072,4.1045999527,0.1376100034,1,53.535999298,0.0360299982,forage,,,,
1,23,0.3273999989,14.387700081,0.0917999968,,,,,,,,,,1,36.692199707,0.0318199992,0.2407999933,4.148900032,0.1371500045,1,53.680500031,0.0359699987,forage,,,,
1,24,0.3190999925,14.467499733,0.0915599987,,,,,,,,,,1,36.775100708,0.031750001,0.239199996,4.1929998398,0.1367000043,1,53.823898315,0.0359200016,forage,,,,
1,25,0.3109999895,14.545700073,0.0913399979,,,,,,,,,,1,36.856601715,0.0316799991,0.2375999987,4.2368998528,0.1362600029,1,53.966400146,0.0358599983,forage,,,,
1,26,0.3032000065,14.62250042,0.0911199972,,,,,,,,,,1,36.936599731,0.0316100009,0.2361000031,4.280600071,0.1358200014,1,54.107898712,0.0358100012,forage,,,,
1,27,0.2955000103,14.697699547,0.0909200013,,,,,,,,,,1,37.015201569,0.0315399989,0.2345999926,4.3239998817,0.1353899986,1,54.248500824,0.0357500017,forage,,,,
1,28,0.2881000042,14.771400452,0.0907199979,,,,,,,,,,1,37.092601776,0.0314799994,0.233099997,4.367099762,0.1349699944,1,54.38809967,0.0357000008,forage,,,,
1,29,0.2809000015,14.843600273,0.0905300006,,,,,,,,,,1,37.168701172,0.0314100012,0.2317000031,4.4099998474,0.1345500052,1,54.526798248,0.03565,forage,,,,
1,30,0.2737999856,14.913999557,0.0903500021,,,,,,,,,,1,37.243499756,0.0313500017,0.2302999943,4.4524998665,0.1341300011,1,54.66450119,0.0355900005,forage,,,,
1,31,0.266900003,14.982199669,0.0901700035,,,,,,,,,,1,37.317199707,0.0312899984,0.2290000021,4.4945998192,0.1337199956,1,54.801200867,0.0355399996,forage,,,,
1,32,0.2601999938,15.048500061,0.0900000036,,,,,,,,,,1,37.389801025,0.0312300008,0.2275999933,4.5363001823,0.1333200037,1,54.936798096,0.0354899988,forage,,,,
1,33,0.2536000013,15.112700462,0.0898400024,,,,,,,,,,1,37.461200714,0.0311799999,0.2263000011,4.5776000023,0.132919997,1,55.071399689,0.0354400016,forage,,,,
1,34,0.2471999973,15.175000191,0.0896800011,,,,,,,,,,1,37.531600952,0.0311200004,0.224999994,4.6185002327,0.1325300038,1,55.204898834,0.0353900008,forage,,,,
