Interval	L	M	S	Delta	1st	3rd	5th	15th	25th	50th	75th	85th 	95th	97th	99th
0 – 4 wks	1.3828	1423.0783	0.22048	400	182	369	460	681	805	1023	1229	1336	1509	1575	1697
4 wks – 2 mo	0.7241	1596.347	0.19296	400	528	648	713	886	992	1196	1408	1524	1724	1803	1955
2 – 3 mo	0.659	1215.3989	0.19591	400	307	397	446	577	658	815	980	1071	1228	1290	1410
3 – 4 mo	0.7003	1017.0488	0.20965	400	160	241	285	403	476	617	764	845	985	1041	1147
4 – 5 mo	0.7419	921.6249	0.2279	400	70	150	194	311	383	522	666	746	883	937	1041
5 – 6 mo	0.7668	822.1842	0.24854	400	-17	61	103	217	287	422	563	640	773	826	927
6 – 7 mo	0.7688	756.5306	0.26783	400	-76	0	42	154	223	357	496	573	706	758	859
7 – 8 mo	0.7624	715.6257	0.28677	400	-118	-43	-1	111	181	316	457	535	671	724	827
8 – 9 mo	0.762	684.7459	0.30439	400	-153	-77	-36	77	148	285	429	508	646	701	806
9 – 10 mo	0.7659	658.5809	0.32154	400	-183	-108	-66	48	120	259	405	486	627	683	790
10 – 11 mo	0.7713	643.4374	0.33882	400	-209	-132	-89	27	100	243	394	478	623	680	791
11 – 12 mo	0.7761	639.4743	0.35502	400	-229	-150	-106	15	91	239	397	484	635	695	811
