Interval	L	M	S	Delta	-3 SD	-2 SD	-1 SD	Median	1 SD	2 SD	3 SD
0 – 4 wks	1.3828	1423.0783	0.22048	400	-160	321	694	1023	1325	1608	1876
4 wks – 2 mo	0.7241	1596.347	0.19296	400	354	615	897	1196	1512	1844	2189
2 – 3 mo	0.659	1215.3989	0.19591	400	178	372	585	815	1061	1322	1597
3 – 4 mo	0.7003	1017.0488	0.20965	400	44	219	411	617	837	1069	1313
4 – 5 mo	0.7419	921.6249	0.2279	400	-45	128	318	522	738	965	1202
5 – 6 mo	0.7668	822.1842	0.24854	400	-128	40	224	422	632	853	1083
6 – 7 mo	0.7688	756.5306	0.26783	400	-183	-21	161	357	565	785	1014
7 – 8 mo	0.7624	715.6257	0.28677	400	-223	-63	118	316	528	752	987
8 – 9 mo	0.762	684.7459	0.30439	400	-256	-98	84	285	500	729	969
9 – 10 mo	0.7659	658.5809	0.32154	400	-286	-128	55	259	478	711	956
10 – 11 mo	0.7713	643.4374	0.33882	400	-312	-153	34	243	469	710	963
11 – 12 mo	0.7761	639.4743	0.35502	400	-333	-172	22	239	475	726	990
