Interval	L	M	S	Delta	-3 SD	-2 SD	-1 SD	Median	1 SD	2 SD	3 SD
0-2 mo	0.7188	2815.612	0.17422	600	862	1285	1737	2216	2718	3243	3788
1-3 mo	0.6464	2592.0761	0.17025	600	795	1165	1564	1992	2446	2926	3430
2-4 mo	0.6071	2038.1036	0.17559	600	480	773	1093	1438	1808	2202	2619
3-5 mo	0.5915	1744.8197	0.18708	600	282	543	831	1145	1484	1846	2233
4-6 mo	0.5891	1541.367	0.2013	600	131	373	644	941	1264	1612	1984
5-7 mo	0.5954	1377.6979	0.21318	600	16	242	497	778	1084	1414	1769
6-8 mo	0.6088	1272.5277	0.22426	600	-64	154	400	673	970	1292	1636
7-9 mo	0.627	1201.4599	0.23472	600	-126	89	332	601	896	1213	1553
8-10 mo	0.6486	1143.8903	0.24611	600	-181	32	275	544	837	1153	1491
9-11 mo	0.6725	1101.6312	0.25918	600	-233	-18	229	502	799	1119	1459
10-12 mo	0.6959	1077.9049	0.27217	600	-278	-56	197	478	783	1110	1458
11-13 mo	0.7191	1057.9071	0.28462	600	-318	-91	169	458	771	1105	1459
12-14 mo	0.7399	1037.0541	0.29479	600	-353	-122	144	437	754	1092	1448
13-15 mo	0.7597	1014.185	0.30285	600	-383	-149	119	414	732	1069	1424
14-16 mo	0.7771	1000.5821	0.30864	600	-405	-168	103	401	719	1057	1410
15-17 mo	0.7929	999.4661	0.3129	600	-421	-179	98	399	722	1061	1416
16-18 mo	0.8078	1000.968	0.31615	600	-434	-187	95	401	726	1068	1424
17-19 mo	0.821	998.4215	0.31858	600	-446	-195	90	398	725	1067	1422
18-20 mo	0.8335	992.804	0.32058	600	-457	-203	84	393	719	1059	1412
19-21 mo	0.8447	986.9799	0.32222	600	-467	-211	78	387	712	1051	1401
20-22 mo	0.8554	981.7965	0.32377	600	-477	-218	72	382	707	1044	1391
21-23 mo	0.8655	978.4016	0.32529	600	-486	-224	68	378	703	1039	1385
22-24 mo	0.8748	976.3696	0.32673	600	-495	-230	65	376	701	1037	1382
