Interval	L	M	S	Delta	1st	3rd	5th	15th	25th	50th	75th	85th 	95th	97th	99th
0-2 mo	0.4599	2497.0406	0.18	600	968	1128	1216	1455	1604	1897	2210	2386	2696	2820	3062
1-3 mo	0.3294	2314.2285	0.17612	600	890	1030	1107	1317	1450	1714	2000	2163	2452	2569	2799
2-4 mo	0.3128	1907.0116	0.17761	600	625	740	804	978	1088	1307	1545	1681	1922	2020	2213
3-5 mo	0.356	1673.5778	0.18421	600	451	556	615	773	874	1074	1290	1413	1632	1720	1894
4-6 mo	0.4264	1482.7466	0.19524	600	295	395	450	600	695	883	1085	1200	1403	1486	1646
5-7 mo	0.5002	1342.3734	0.20864	600	170	267	321	468	560	742	938	1048	1243	1321	1473
6-8 mo	0.5699	1251.4869	0.22315	600	76	175	229	377	469	651	846	955	1147	1223	1372
7-9 mo	0.6268	1181.4135	0.23586	600	3	103	157	306	399	581	775	883	1072	1147	1293
8-10 mo	0.673	1116.8192	0.2468	600	-59	40	95	243	336	517	708	814	999	1073	1215
9-11 mo	0.7102	1078.3961	0.25656	600	-104	-3	53	203	297	478	670	776	960	1033	1174
10-12 mo	0.7382	1058.4112	0.26494	600	-135	-31	26	179	274	458	652	759	944	1018	1159
11-13 mo	0.7605	1040.8737	0.27292	600	-163	-57	1	157	254	441	637	745	932	1005	1147
12-14 mo	0.7762	1027.9459	0.28011	600	-185	-78	-19	140	238	428	626	736	924	999	1142
13-15 mo	0.7864	1019.687	0.28705	600	-204	-95	-35	127	227	420	621	732	924	999	1144
14-16 mo	0.7913	1016.4898	0.29343	600	-219	-108	-47	118	220	416	622	735	930	1007	1154
15-17 mo	0.7922	1017.5335	0.29961	600	-231	-118	-55	112	216	418	627	743	943	1021	1172
16-18 mo	0.7902	1017.2241	0.30592	600	-243	-128	-64	106	212	417	631	750	954	1035	1189
17-19 mo	0.7866	1012.8511	0.31201	600	-255	-139	-75	97	205	413	631	751	959	1041	1199
18-20 mo	0.7827	1007.2711	0.31824	600	-267	-151	-86	88	196	407	628	751	962	1046	1206
19-21 mo	0.7795	1001.8324	0.32415	600	-279	-162	-97	79	188	402	626	750	965	1050	1213
20-22 mo	0.7771	993.3265	0.33014	600	-291	-174	-109	67	178	393	620	745	963	1049	1214
21-23 mo	0.7755	980.7096	0.33605	600	-305	-189	-124	53	164	381	608	735	954	1040	1207
22-24 mo	0.7743	967.2057	0.34166	600	-318	-202	-137	39	150	367	596	723	942	1029	1197
