Interval	L	M	S	Delta	-3 SD	-2 SD	-1 SD	Median	1 SD	2 SD	3 SD
0-2 mo	0.4599	2497.0406	0.18	600	742	1085	1469	1897	2368	2884	3445
1-3 mo	0.3294	2314.2285	0.17612	600	695	991	1330	1714	2146	2630	3167
2-4 mo	0.3128	1907.0116	0.17761	600	465	709	989	1307	1667	2071	2522
3-5 mo	0.356	1673.5778	0.18421	600	304	528	783	1074	1400	1766	2172
4-6 mo	0.4264	1482.7466	0.19524	600	156	367	609	883	1189	1528	1901
5-7 mo	0.5002	1342.3734	0.20864	600	34	241	477	742	1037	1361	1714
6-8 mo	0.5699	1251.4869	0.22315	600	-61	148	386	651	944	1263	1607
7-9 mo	0.6268	1181.4135	0.23586	600	-136	75	315	581	872	1186	1522
8-10 mo	0.673	1116.8192	0.2468	600	-199	13	253	517	803	1110	1437
9-11 mo	0.7102	1078.3961	0.25656	600	-246	-30	212	478	765	1070	1393
10-12 mo	0.7382	1058.4112	0.26494	600	-280	-60	188	458	748	1055	1378
11-13 mo	0.7605	1040.8737	0.27292	600	-311	-86	167	441	734	1043	1367
12-14 mo	0.7762	1027.9459	0.28011	600	-336	-107	150	428	724	1037	1363
13-15 mo	0.7864	1019.687	0.28705	600	-358	-125	137	420	721	1038	1368
14-16 mo	0.7913	1016.4898	0.29343	600	-375	-138	128	416	723	1046	1383
15-17 mo	0.7922	1017.5335	0.29961	600	-389	-149	123	418	731	1062	1406
16-18 mo	0.7902	1017.2241	0.30592	600	-402	-159	117	417	738	1076	1428
17-19 mo	0.7866	1012.8511	0.31201	600	-414	-171	108	413	739	1083	1443
18-20 mo	0.7827	1007.2711	0.31824	600	-426	-183	99	407	738	1088	1455
19-21 mo	0.7795	1001.8324	0.32415	600	-438	-194	89	402	738	1093	1466
20-22 mo	0.7771	993.3265	0.33014	600	-450	-207	78	393	733	1093	1471
21-23 mo	0.7755	980.7096	0.33605	600	-462	-221	64	381	722	1085	1466
22-24 mo	0.7743	967.2057	0.34166	600	-474	-234	50	367	710	1074	1457
