denom,Sex,Interval,L,M,S,Delta,1st,3rd,5th,15th,25th,50th,75th,85th,95th,97th,99th
age,1,1,1.3828,1423.0783,0.22048,400,182,369,460,681,805,1023,1229,1336,1509,1575,1697
age,1,2,0.7241,1596.347,0.19296,400,528,648,713,886,992,1196,1408,1524,1724,1803,1955
age,1,3,0.659,1215.3989,0.19591,400,307,397,446,577,658,815,980,1071,1228,1290,1410
age,1,4,0.7003,1017.0488,0.20965,400,160,241,285,403,476,617,764,845,985,1041,1147
age,1,5,0.7419,921.6249,0.2279,400,70,150,194,311,383,522,666,746,883,937,1041
age,1,6,0.7668,822.1842,0.24854,400,-17,61,103,217,287,422,563,640,773,826,927
age,1,7,0.7688,756.5306,0.26783,400,-76,0,42,154,223,357,496,573,706,758,859
age,1,8,0.7624,715.6257,0.28677,400,-118,-43,-1,111,181,316,457,535,671,724,827
age,1,9,0.762,684.7459,0.30439,400,-153,-77,-36,77,148,285,429,508,646,701,806
age,1,10,0.7659,658.5809,0.32154,400,-183,-108,-66,48,120,259,405,486,627,683,790
age,1,11,0.7713,643.4374,0.33882,400,-209,-132,-89,27,100,243,394,478,623,680,791
age,1,12,0.7761,639.4743,0.35502,400,-229,-150,-106,15,91,239,397,484,635,695,811
age,2,1,0.7781,1279.4834,0.21479,400,280,388,446,602,697,879,1068,1171,1348,1418,1551
age,2,2,0.7781,1411.1075,0.19384,400,410,519,578,734,829,1011,1198,1301,1476,1545,1677
age,2,3,0.7781,1118.0098,0.19766,400,233,321,369,494,571,718,869,952,1094,1150,1256
age,2,4,0.7781,984.8825,0.20995,400,133,214,259,376,448,585,726,804,937,990,1090
age,2,5,0.7781,888.9803,0.22671,400,51,130,172,286,355,489,627,703,833,885,983
age,2,6,0.7781,801.391,0.24596,400,-24,52,93,203,271,401,537,611,739,790,886
age,2,7,0.7781,744.3023,0.26515,400,-79,-4,37,146,214,344,480,555,684,734,832
age,2,8,0.7781,710.6923,0.28409,400,-119,-44,-2,109,178,311,450,526,659,711,811
age,2,9,0.7781,672.6072,0.30106,400,-155,-81,-40,70,139,273,412,489,623,675,776
age,2,10,0.7781,644.6032,0.31676,400,-184,-110,-70,41,110,245,385,464,598,652,754
age,2,11,0.7781,633.2166,0.33208,400,-206,-131,-89,24,95,233,378,459,598,653,759
age,2,12,0.7781,631.7383,0.34627,400,-222,-145,-102,15,88,232,383,467,612,670,781
