denom,Sex,agemos_from,agemos_to,L,M,S,Delta,1st,3rd,5th,15th,25th,50th,75th,85th,95th,97th,99th
age,1,0,2,0.7188,2815.612,0.17422,600,1144,1338,1443,1720,1890,2216,2552,2737,3054,3179,3418
age,1,1,3,0.6464,2592.0761,0.17025,600,1040,1211,1303,1549,1701,1992,2296,2463,2753,2868,3088
age,1,2,4,0.6071,2038.1036,0.17559,600,675,810,884,1081,1202,1438,1685,1822,2059,2154,2336
age,1,3,5,0.5915,1744.8197,0.18708,600,455,576,642,820,930,1145,1371,1496,1715,1802,1970
age,1,4,6,0.5891,1541.367,0.2013,600,291,404,466,634,738,941,1156,1277,1486,1569,1731
age,1,5,7,0.5954,1377.6979,0.21318,600,165,271,330,487,585,778,982,1096,1294,1374,1528
age,1,6,8,0.6088,1272.5277,0.22426,600,79,182,238,390,486,673,871,982,1175,1252,1402
age,1,7,9,0.627,1201.4599,0.23472,600,16,117,172,323,417,601,797,907,1098,1174,1322
age,1,8,10,0.6486,1143.8903,0.24611,600,-41,60,115,266,360,544,739,848,1039,1115,1261
age,1,9,11,0.6725,1101.6312,0.25918,600,-92,10,67,219,315,502,700,810,1003,1079,1227
age,1,10,12,0.6959,1077.9049,0.27217,600,-132,-28,30,187,286,478,681,795,992,1070,1221
age,1,11,13,0.7191,1057.9071,0.28462,600,-169,-62,-2,159,260,458,666,782,984,1064,1218
age,1,12,14,0.7399,1037.0541,0.29479,600,-202,-92,-31,133,236,437,648,766,969,1050,1206
age,1,13,15,0.7597,1014.185,0.30285,600,-230,-119,-58,109,212,414,626,744,947,1028,1183
age,1,14,16,0.7771,1000.5821,0.30864,600,-250,-138,-75,93,197,401,614,731,935,1016,1170
age,1,15,17,0.7929,999.4661,0.3129,600,-262,-148,-84,87,193,399,615,734,939,1020,1176
age,1,16,18,0.8078,1000.968,0.31615,600,-272,-155,-90,84,192,401,619,739,945,1027,1183
age,1,17,19,0.821,998.4215,0.31858,600,-281,-162,-97,79,188,398,617,737,944,1025,1181
age,1,18,20,0.8335,992.804,0.32058,600,-291,-170,-104,73,182,393,611,731,937,1018,1173
age,1,19,21,0.8447,986.9799,0.32222,600,-299,-178,-111,67,176,387,605,725,929,1010,1164
age,1,20,22,0.8554,981.7965,0.32377,600,-307,-185,-118,61,171,382,599,719,923,1003,1156
age,1,21,23,0.8655,978.4016,0.32529,600,-314,-191,-123,57,167,378,596,715,919,999,1151
age,1,22,24,0.8748,976.3696,0.32673,600,-320,-196,-128,53,164,376,594,713,917,997,1149
age,2,0,2,0.4599,2497.0406,0.18,600,968,1128,1216,1455,1604,1897,2210,2386,2696,2820,3062
age,2,1,3,0.3294,2314.2285,0.17612,600,890,1030,1107,1317,1450,1714,2000,2163,2452,2569,2799
age,2,2,4,0.3128,1907.0116,0.17761,600,625,740,804,978,1088,1307,1545,1681,1922,2020,2213
age,2,3,5,0.356,1673.5778,0.18421,600,451,556,615,773,874,1074,1290,1413,1632,1720,1894
age,2,4,6,0.4264,1482.7466,0.19524,600,295,395,450,600,695,883,1085,1200,1403,1486,1646
age,2,5,7,0.5002,1342.3734,0.20864,600,170,267,321,468,560,742,938,1048,1243,1321,1473
age,2,6,8,0.5699,1251.4869,0.22315,600,76,175,229,377,469,651,846,955,1147,1223,1372
age,2,7,9,0.6268,1181.4135,0.23586,600,3,103,157,306,399,581,775,883,1072,1147,1293
age,2,8,10,0.673,1116.8192,0.2468,600,-59,40,95,243,336,517,708,814,999,1073,1215
age,2,9,11,0.7102,1078.3961,0.25656,600,-104,-3,53,203,297,478,670,776,960,1033,1174
age,2,10,12,0.7382,1058.4112,0.26494,600,-135,-31,26,179,274,458,652,759,944,1018,1159
age,2,11,13,0.7605,1040.8737,0.27292,600,-163,-57,1,157,254,441,637,745,932,1005,1147
age,2,12,14,0.7762,1027.9459,0.28011,600,-185,-78,-19,140,238,428,626,736,924,999,1142
age,2,13,15,0.7864,1019.687,0.28705,600,-204,-95,-35,127,227,420,621,732,924,999,1144
age,2,14,16,0.7913,1016.4898,0.29343,600,-219,-108,-47,118,220,416,622,735,930,1007,1154
age,2,15,17,0.7922,1017.5335,0.29961,600,-231,-118,-55,112,216,418,627,743,943,1021,1172
age,2,16,18,0.7902,1017.2241,0.30592,600,-243,-128,-64,106,212,417,631,750,954,1035,1189
age,2,17,19,0.7866,1012.8511,0.31201,600,-255,-139,-75,97,205,413,631,751,959,1041,1199
age,2,18,20,0.7827,1007.2711,0.31824,600,-267,-151,-86,88,196,407,628,751,962,1046,1206
age,2,19,21,0.7795,1001.8324,0.32415,600,-279,-162,-97,79,188,402,626,750,965,1050,1213
age,2,20,22,0.7771,993.3265,0.33014,600,-291,-174,-109,67,178,393,620,745,963,1049,1214
age,2,21,23,0.7755,980.7096,0.33605,600,-305,-189,-124,53,164,381,608,735,954,1040,1207
age,2,22,24,0.7743,967.2057,0.34166,600,-318,-202,-137,39,150,367,596,723,942,1029,1197
